date,number_accidents
2019-06-01,610
2019-06-02,454
2019-06-03,483
2019-06-04,535
2019-06-05,588
2019-06-06,600
2019-06-07,663
2019-06-08,646
2019-06-09,535
2019-06-10,570
2019-06-11,541
2019-06-12,601
2019-06-13,568
2019-06-14,675
2019-06-15,609
2019-06-16,547
2019-06-17,481
2019-06-18,460
2019-06-19,557
2019-06-20,507
2019-06-21,505
2019-06-22,555
2019-06-23,450
2019-06-24,504
2019-06-25,469
2019-06-26,475
2019-06-27,536
2019-06-28,608
2019-06-29,540
2019-06-30,150
2019-07-01,468
2019-07-02,450
2019-07-03,491
2019-07-04,612
2019-07-05,559
2019-07-06,650
2019-07-07,440
2019-07-08,471
2019-07-09,403
2019-07-10,510
2019-07-11,484
2019-07-12,555
2019-07-13,588
2019-07-14,494
2019-07-15,513
2019-07-16,448
2019-07-17,462
2019-07-18,458
2019-07-19,529
2019-07-20,634
2019-07-21,518
2019-07-22,459
2019-07-23,450
2019-07-24,499
2019-07-25,485
2019-07-26,544
2019-07-27,568
2019-07-28,481
2019-07-29,422
2019-07-30,412
2019-07-31,155
2019-08-01,494
2019-08-02,549
2019-08-03,549
2019-08-04,395
2019-08-05,476
2019-08-06,492
2019-08-07,506
2019-08-08,567
2019-08-09,644
2019-08-10,708
2019-08-11,539
2019-08-12,499
2019-08-13,489
2019-08-14,507
2019-08-15,525
2019-08-16,592
2019-08-17,645
2019-08-18,509
2019-08-19,477
2019-08-20,488
2019-08-21,510
2019-08-22,513
2019-08-23,663
2019-08-24,679
2019-08-25,540
2019-08-26,492
2019-08-27,512
2019-08-28,484
2019-08-29,504
2019-08-30,591
2019-08-31,354
2019-09-01,474
2019-09-02,475
2019-09-03,471
2019-09-04,453
2019-09-05,505
2019-09-06,601
2019-09-07,621
2019-09-08,567
2019-09-09,538
2019-09-10,503
2019-09-11,490
2019-09-12,559
2019-09-13,569
2019-09-14,608
2019-09-15,576
2019-09-16,493
2019-09-17,443
2019-09-18,481
2019-09-19,495
2019-09-20,570
2019-09-21,539
2019-09-22,472
2019-09-23,456
2019-09-24,442
2019-09-25,491
2019-09-26,442
2019-09-27,578
2019-09-28,599
2019-09-29,489
2019-09-30,259
2019-10-01,486
2019-10-02,475
2019-10-03,499
2019-10-04,686
2019-10-05,698
2019-10-06,576
2019-10-07,502
2019-10-08,559
2019-10-09,465
2019-10-10,546
2019-10-11,634
2019-10-12,608
2019-10-13,566
2019-10-14,510
2019-10-15,500
2019-10-16,483
2019-10-17,480
2019-10-18,677
2019-10-19,584
2019-10-20,518
2019-10-21,492
2019-10-22,450
2019-10-23,495
2019-10-24,531
2019-10-25,587
2019-10-26,607
2019-10-27,536
2019-10-28,452
2019-10-29,531
2019-10-30,498
2019-10-31,293
2019-11-01,657
2019-11-02,601
2019-11-03,573
2019-11-04,510
2019-11-05,581
2019-11-06,510
2019-11-07,490
2019-11-08,636
2019-11-09,605
2019-11-10,486
2019-11-11,523
2019-11-12,498
2019-11-13,531
2019-11-14,588
2019-11-15,485
2019-11-16,524
2019-11-17,518
2019-11-18,471
2019-11-19,467
2019-11-20,448
2019-11-21,531
2019-11-22,610
2019-11-23,613
2019-11-24,500
2019-11-25,507
2019-11-26,485
2019-11-27,562
2019-11-28,503
2019-11-29,580
2019-11-30,303
2019-12-01,501
2019-12-02,483
2019-12-03,522
2019-12-04,527
2019-12-05,547
2019-12-06,709
2019-12-07,681
2019-12-08,509
2019-12-09,503
2019-12-10,484
2019-12-11,536
2019-12-12,532
2019-12-13,566
2019-12-14,662
2019-12-15,564
2019-12-16,498
2019-12-17,513
2019-12-18,583
2019-12-19,525
2019-12-20,676
2019-12-21,655
2019-12-22,502
2019-12-23,561
2019-12-24,554
2019-12-25,555
2019-12-26,414
2019-12-27,432
2019-12-28,423
2019-12-29,376
2019-12-30,358
2019-12-31,217
2020-01-01,439
2020-01-02,390
2020-01-03,381
2020-01-04,405
2020-01-05,303
2020-01-06,406
2020-01-07,414
2020-01-08,427
2020-01-09,388
2020-01-10,505
2020-01-11,495
2020-01-12,463
2020-01-13,413
2020-01-14,418
2020-01-15,415
2020-01-16,468
2020-01-17,476
2020-01-18,497
2020-01-19,475
2020-01-20,443
2020-01-21,401
2020-01-22,432
2020-01-23,400
2020-01-24,528
2020-01-25,522
2020-01-26,484
2020-01-27,484
2020-01-28,433
2020-01-29,397
2020-01-30,444
2020-01-31,499
2020-02-01,537
2020-02-02,451
2020-02-03,438
2020-02-04,443
2020-02-05,463
2020-02-06,517
2020-02-07,537
2020-02-08,654
2020-02-09,529
2020-02-10,489
2020-02-11,456
2020-02-12,452
2020-02-13,423
2020-02-14,538
2020-02-15,617
2020-02-16,507
2020-02-17,484
2020-02-18,536
2020-02-19,502
2020-02-20,586
2020-02-21,596
2020-02-22,598
2020-02-23,457
2020-02-24,420
2020-02-25,398
2020-02-26,401
2020-02-27,407
2020-02-28,476
2020-02-29,488
2020-03-01,392
2020-03-02,490
2020-03-03,459
